Time_s,Voltage_V,Current_A,Power_W,DTB_Temp_C,TC0_Temp_C,TC1_Temp_C
8407.729,3.809,4.999,19.039,30.00,2289.80,21.88
8414.881,3.802,4.999,19.004,30.05,2289.80,21.89
8423.838,3.793,4.999,18.958,30.05,2289.80,21.88
8430.809,3.788,4.999,18.936,30.15,2289.79,21.82
8437.708,3.783,4.999,18.913,30.15,2289.78,21.82
8444.703,3.779,4.999,18.890,30.15,2289.78,21.84
8451.615,3.774,4.999,18.867,30.15,2289.78,21.87
8459.630,3.772,4.999,18.856,30.15,2289.79,21.91
8466.498,3.770,4.999,18.844,30.05,2289.80,21.91
8473.494,3.765,4.999,18.821,30.05,2289.79,21.89
8480.455,3.763,4.999,18.810,30.05,2289.79,21.90
8487.394,3.761,4.999,18.798,30.05,2289.78,21.90
8494.334,3.758,4.999,18.787,30.05,2289.78,21.90
8501.295,3.756,4.999,18.775,30.00,2289.79,21.91
8508.246,3.754,4.999,18.764,30.00,2289.79,21.92
8515.203,3.751,4.999,18.753,29.90,2289.78,21.93
8522.194,3.751,4.999,18.753,29.90,2289.78,21.92
8529.114,3.749,4.999,18.741,29.90,2289.77,21.92
8536.081,3.747,4.999,18.730,30.00,2289.78,21.94
8542.987,3.745,4.999,18.718,30.00,2289.78,21.96
8549.966,3.745,4.999,18.718,30.00,2289.79,21.97
8556.931,3.742,4.999,18.707,30.00,2289.79,21.98
8563.860,3.742,4.999,18.707,29.95,2289.79,21.99
8570.837,3.740,4.999,18.695,29.95,2289.77,21.99
8577.823,3.738,4.999,18.684,29.95,2289.77,21.98
8584.741,3.738,4.999,18.684,29.95,2289.78,21.94
8591.696,3.735,4.999,18.672,30.00,2289.78,21.87
8598.615,3.735,4.999,18.672,30.05,2289.75,21.87
8605.602,3.733,4.999,18.661,30.10,2289.79,21.88
8612.580,3.733,4.999,18.661,30.10,2289.78,21.86
8619.521,3.731,4.999,18.650,30.15,2289.78,21.90
8626.493,3.731,4.999,18.650,30.15,2289.78,21.91
8633.461,3.729,4.999,18.638,30.15,2289.77,21.90
8640.384,3.729,4.999,18.638,30.15,2289.77,21.90
8648.308,3.726,4.999,18.627,30.15,2289.78,21.93
8655.257,3.726,4.999,18.627,30.10,2289.77,21.94
8662.215,3.724,4.999,18.615,30.05,2289.76,21.94
8669.173,3.724,4.999,18.615,30.05,2289.78,21.91
8676.185,3.722,4.999,18.604,30.00,2289.77,21.87
8683.077,3.722,4.999,18.604,30.00,2289.78,21.90
8690.032,3.719,4.999,18.592,30.00,2289.77,21.91
8696.997,3.719,4.999,18.592,30.00,2289.78,21.93
8703.934,3.717,4.999,18.581,30.00,2289.78,21.91
8710.929,3.717,4.999,18.581,30.00,2289.78,21.93
8717.825,3.715,4.999,18.569,30.00,2289.77,21.94
8724.833,3.715,4.999,18.569,30.05,2289.77,21.95
8731.703,3.715,4.999,18.569,30.05,2289.76,21.93
8738.707,3.712,4.999,18.558,30.05,2289.76,21.93
8745.641,3.712,4.999,18.558,30.05,2289.78,21.95
8752.623,3.710,4.999,18.547,30.05,2289.77,21.94
